specimen_label,site_name,date_cest,method,method_repeat,sex,stage,id_confidence,suborder,family,subfamily,genus,species
TOR04 20210919 H1 C012,TOR04,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C013,TOR04,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C014,TOR04,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C015,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C016,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C017,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C018,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C019,TOR04,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C022,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C024,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C025,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 H1 C026,TOR04,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR09 20211005 N1 C001,TOR09,2021-10-05,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR09 20211005 N1 C003,TOR09,2021-10-05,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
MOL06 20211002 H1 C001,MOL06,2021-10-02,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stenobothrus,Stenobothrus nigromaculatus
MOL06 20211002 H1 C002,MOL06,2021-10-02,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
MOL06 20211002 H1 C005,MOL06,2021-10-02,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
MOL06 20211002 H1 C007,MOL06,2021-10-02,Hand,1,Male,Nymph,Confirmed,Caelifera,Acrididae,Gomphocerinae,,
MOL06 20211002 H1 C008,MOL06,2021-10-02,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
MOL06 20211002 H1 E001,MOL06,2021-10-02,Hand,1,Male,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Platycleis,Platycleis albopunctata
TOR08 20211005 H1 C001,TOR08,2021-10-05,Hand,1,Female,Nymph,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,
TOR08 20211005 H1 C003,TOR08,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus dorsatus
