site_name,date_cest,start_time_cest,end_time_cest,method,method_repeat,cloud_coverage_start,wind_start,rain_start,cloud_coverage_end,wind_end,rain_end
TOR04,2021-07-19,13:13:00,13:18:00,Net,1,0,0,0,0,0,0
TOR04,2021-07-19,13:25:00,13:33:00,Hand,1,0,0,0,0,0,0
TOR04,2021-09-19,11:47:00,11:51:00,Net,1,0,2,0,0,2,0
TOR04,2021-09-19,11:57:00,12:09:00,Hand,1,0,2,0,0,2,0
TOR04,2021-09-19,12:13:00,12:18:00,Net,2,0,1,0,0,1,0
TOR04,2021-10-05,11:56:00,12:02:00,Net,1,6,2,0,6,2,0
TOR04,2021-10-05,12:03:00,12:13:00,Hand,1,6,1,0,6,1,0
TOR04,2021-10-05,12:21:00,12:27:00,Net,2,5,1,0,5,1,0
TOR05,2021-06-16,13:43:00,14:00:00,Net,1,4,1,0,4,1,0
TOR05,2021-07-01,12:11:00,12:16:00,Net,1,1,3,0,1,3,0
TOR05,2021-07-19,15:01:00,15:06:00,Net,1,0,2,0,0,2,0
TOR05,2021-07-19,15:10:00,15:15:00,Hand,1,0,2,0,0,2,0
TOR05,2021-07-19,15:34:00,15:38:00,Net,2,0,2,0,0,2,0
TOR05,2021-09-19,13:15:00,13:20:00,Net,1,0,2,0,0,1,0
TOR05,2021-09-19,13:21:00,13:28:00,Hand,1,0,1,0,0,2,0
TOR05,2021-09-19,13:30:00,13:34:00,Net,2,0,1,0,0,3,0
TOR05,2021-10-05,13:11:00,13:16:00,Net,1,5,1,0,5,1,0
TOR05,2021-10-05,13:17:00,13:22:00,Hand,1,5,2,0,5,2,0
TOR05,2021-10-05,13:29:00,13:34:00,Net,2,4,2,0,4,2,0
TOR06,2021-06-16,14:48:00,14:54:00,Net,1,6,1,0,6,1,0
TOR06,2021-07-01,12:59:00,13:04:00,Net,1,3,3,0,3,3,0
TOR06,2021-07-19,15:39:00,15:48:00,Net,1,0,0,0,0,1,0
TOR06,2021-07-19,15:58:00,16:03:00,Hand,1,0,1,0,0,1,0
TOR06,2021-07-19,16:19:00,16:23:00,Net,2,0,0,0,0,0,0
TOR06,2021-09-19,14:18:00,14:22:00,Net,1,0,3,0,0,3,0
TOR06,2021-09-19,14:24:00,14:29:00,Hand,1,0,0,0,0,1,0
TOR06,2021-09-19,14:41:00,14:45:00,Net,2,0,2,0,0,3,0
TOR06,2021-10-05,13:59:00,14:02:00,Net,1,5,2,0,5,2,0
TOR06,2021-10-05,14:03:00,14:07:00,Hand,1,6,2,0,6,2,0
TOR06,2021-10-05,14:11:00,14:14:00,Net,2,6,2,0,6,2,0
TOR07,2021-06-16,15:39:00,15:49:00,Net,1,7,1,1,7,1,1
TOR07,2021-07-01,13:41:00,13:47:00,Net,1,6,1,0,6,1,0
TOR07,2021-09-19,15:03:00,15:08:00,Net,1,0,0,0,0,2,0
TOR07,2021-09-19,15:10:00,15:18:00,Hand,1,0,2,0,0,0,0
TOR07,2021-10-05,15:11:00,15:14:00,Net,1,4,1,0,4,1,0
TOR07,2021-10-05,15:14:00,15:18:00,Hand,1,4,1,0,4,1,0
